cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
29332999,2933,160,0817600,04,SP,3452205,SOROCABA,0
85177190,8517,160,0817700,04,SP,3452205,SOROCABA,1
85411029,8541,160,0817700,04,MG,3106705,BETIM,1
85176254,8517,160,0817600,04,SP,3450308,SAO PAULO,1
85411091,8541,160,1017801,04,RS,4318705,SAO LEOPOLDO,0
85176259,8517,160,0817700,04,RS,4306767,ELDORADO DO SUL,0
85411091,8541,160,0817700,04,SP,3449904,SAO JOSE DOS CAMPOS,0
90181100,9018,160,0817800,01,MG,3106200,BELO HORIZONTE,1
29336919,2933,160,0717600,01,MG,3115300,CATAGUASES,0
85413029,8541,160,0717700,04,RJ,3301702,DUQUE DE CAXIAS,0
87089990,8708,160,0817800,01,SP,3430607,MOGI DAS CRUZES,1
85415020,8541,160,0817800,01,SP,3420509,INDAIATUBA,0
29157039,2915,160,1017700,01,RS,4311403,LAJEADO,0
85176241,8517,160,0927800,01,RS,4306767,ELDORADO DO SUL,0
29339999,2933,160,0927800,01,MG,3106200,BELO HORIZONTE,0
90189010,9018,160,0817800,01,RJ,3304904,SAO GONCALO,0
85414025,8541,160,0817700,04,MG,3170701,VARGINHA,0
29333939,2933,160,1017801,04,RS,4303103,CACHOEIRINHA,0
29153961,2915,160,0817600,04,SP,3418800,GUARULHOS,0
85414300,8541,160,0517800,01,MG,3151206,PIRAPORA,0
85176291,8517,160,1017503,07,RS,4315057,PORTO MAUA,0
29419092,2941,160,0817800,01,SP,3413702,DESCALVADO,0
87088000,8708,160,0817800,01,SP,3428502,MAIRIPORA,0
29339969,2933,160,0817700,04,SP,3448906,SAO CARLOS,0
87089482,8708,160,0817600,04,SP,3454102,TAUBATE,0
84439199,8443,160,0817800,01,MG,3157336,SANTA CRUZ DE MINAS,0
85176299,8517,160,0717700,04,RJ,3305000,SAO JOAO DA BARRA,0
85176229,8517,160,0817600,04,MG,3170701,VARGINHA,0
29153942,2915,160,0817800,01,SP,3431803,MONTE MOR,0
85411091,8541,160,0817700,04,SP,3425003,JANDIRA,0
90183910,9018,160,0817800,01,RS,4314902,PORTO ALEGRE,1
85414121,8541,160,0817700,04,RS,4306767,ELDORADO DO SUL,0
29411043,2941,160,0817600,04,MG,3170701,VARGINHA,0
85414122,8541,160,0717700,04,RJ,3302254,ITATIAIA,0
84439941,8443,160,0817700,04,MG,3125101,EXTREMA,0
87089990,8708,160,0817700,04,SP,3452809,TABOAO DA SERRA,1
85414900,8541,160,0817600,04,RS,4305108,CAXIAS DO SUL,0
87087090,8708,160,0817700,04,SP,3423404,ITATIBA,0
85176279,8517,160,0817700,04,MG,3106200,BELO HORIZONTE,0
87082200,8708,160,0817800,01,RJ,3302254,ITATIAIA,0
85412199,8541,160,0817700,04,MG,3134905,JACUTINGA,0
85416010,8541,160,0817700,04,SP,3426902,LIMEIRA,0
85414111,8541,160,0817700,04,SP,3434401,OSASCO,0
84439950,8443,160,1017801,04,RS,4307005,ERECHIM,0
84431790,8443,160,0927800,01,SP,3450308,SAO PAULO,0
87082999,8708,160,0817700,04,SP,3456701,VINHEDO,0
90189099,9018,160,0817800,01,SP,3422109,ITANHAEM,0
87088000,8708,160,0617700,04,MG,3106200,BELO HORIZONTE,0
85176259,8517,160,0817800,01,SP,3445209,SALTO,0
90189010,9018,160,0817700,04,MG,3106200,BELO HORIZONTE,0
90183929,9018,160,0817600,04,SP,3448807,SAO CAETANO DO SUL,1
87089990,8708,160,0817800,01,RS,4309209,GRAVATAI,0
85413021,8541,160,0817700,04,SP,3401608,AMERICANA,1
85414011,8541,160,0817700,04,SP,3454102,TAUBATE,0
85411091,8541,160,0617700,04,MG,3159605,SANTA RITA DO SAPUCAI,1
29159090,2915,160,0817700,04,SP,3424006,ITUPEVA,0
85411031,8541,160,0817700,04,SP,3449904,SAO JOSE DOS CAMPOS,0
87089990,8708,160,0817600,04,SP,3423909,ITU,0
85176277,8517,160,0817700,04,SP,3434401,OSASCO,0
